NTD,Agency,Mode,TOS,Organization,UZA_ID,UZA_Name,UZA_Area,UZA_Pop,SA_Area,SA_Pop,Passenger_Miles,Unlinked_Trips,Avg_Trip_Length, Fares , Operating_Expenses , Average_Cost , Average_Fare 
44,Skagit Transit,VP,DO,Independent Public Agency or Authority of Transit Service,435,"Mount Vernon, WA",34,62966,760,115484,5197055,114180,45.52,475310,744583,6.52,4.16
46,City of Wilsonville,DR,DO,"City, County or Local Government Unit or Department of Transportation",24,"Portland, OR-WA",524,1849898,80,73870,108990,17300,6.30,5224,956859,55.31,0.30
46,City of Wilsonville,MB,DO,"City, County or Local Government Unit or Department of Transportation",24,"Portland, OR-WA",524,1849898,80,73870,2203929,292650,7.53,201174,4359034,14.90,0.69
57,Central Oregon Intergovernmental Council,CB,DO,"MPO, COG or Other Planning Agency",344,"Bend, OR",40,83794,75,127940,2903895,216547,13.41,258862,1559021,7.20,1.20
57,Central Oregon Intergovernmental Council,DR,DO,"MPO, COG or Other Planning Agency",344,"Bend, OR",40,83794,75,127940,161187,46318,3.48,43055,1206173,26.04,0.93
57,Central Oregon Intergovernmental Council,DR,PT,"MPO, COG or Other Planning Agency",344,"Bend, OR",40,83794,75,127940,100568,37110,2.71,50907,1194636,32.19,1.37
57,Central Oregon Intergovernmental Council,MB,DO,"MPO, COG or Other Planning Agency",344,"Bend, OR",40,83794,75,127940,47352,17735,2.67,2388,112995,6.37,0.13
57,Central Oregon Intergovernmental Council,MB,PT,"MPO, COG or Other Planning Agency",344,"Bend, OR",40,83794,75,127940,1614967,428258,3.77,356866,2490932,5.82,0.83
58,City of Portland,SR,PT,"City, County or Local Government Unit or Department of Transportation",24,"Portland, OR-WA",524,1849898,11,89237,5845765,4491362,1.30,1070657,18987066,4.23,0.24
58,City of Portland,TR,PT,"City, County or Local Government Unit or Department of Transportation",24,"Portland, OR-WA",524,1849898,11,89237,1346796,2104368,0.64,764384,3031078,1.44,0.36
376,"Ride Connection, Inc.",DR,DO,Private-Non-Profit Corporation,24,"Portland, OR-WA",524,1849898,1192,1364620,209121,89958,2.32,0,5298407,58.90,0.00
376,"Ride Connection, Inc.",DR,TX,Private-Non-Profit Corporation,24,"Portland, OR-WA",524,1849898,1192,1364620,435040,85977,5.06,0,1662529,19.34,0.00
376,"Ride Connection, Inc.",MB,DO,Private-Non-Profit Corporation,24,"Portland, OR-WA",524,1849898,1192,1364620,387290,126153,3.07,16795,765406,6.07,0.13
415,Ada County Highway District,VP,DO,"City, County or Local Government Unit or Department of Transportation",108,"Boise City, ID",134,349684,15134,814966,11390995,174463,65.29,1011733,976859,5.60,5.80
10001,Rhode Island Public Transit Authority,DR,DO,Independent Public Agency or Authority of Transit Service,39,"Providence, RI-MA",545,1190956,1436,1048319,3375843,332010,10.17,412367,12476599,37.58,1.24
10001,Rhode Island Public Transit Authority,DR,TX,Independent Public Agency or Authority of Transit Service,39,"Providence, RI-MA",545,1190956,1436,1048319,1425161,52208,27.30,57238,1339253,25.65,1.10
10001,Rhode Island Public Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,39,"Providence, RI-MA",545,1190956,1436,1048319,70301698,16029388,4.39,18271523,101803756,6.35,1.14
10001,Rhode Island Public Transit Authority,VP,PT,Independent Public Agency or Authority of Transit Service,39,"Providence, RI-MA",545,1190956,1436,1048319,885466,17990,49.22,102568,183838,10.22,5.70
10003,Massachusetts Bay Transportation Authority,CR,PT,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,3244,3109308,653570994,31177738,20.96,238575681,384352038,12.33,7.65
10003,Massachusetts Bay Transportation Authority,DR,PT,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,3244,3109308,14589884,1862279,7.83,6045296,128696163,69.11,3.25
10003,Massachusetts Bay Transportation Authority,FB,PT,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,3244,3109308,13942294,1584440,8.80,11649892,15139977,9.56,7.35
10003,Massachusetts Bay Transportation Authority,HR,DO,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,3244,3109308,572046325,160351814,3.57,224415154,304267766,1.90,1.40
10003,Massachusetts Bay Transportation Authority,LR,DO,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,3244,3109308,137719112,56975564,2.42,81704871,192376108,3.38,1.43
10003,Massachusetts Bay Transportation Authority,MB,DO,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,3244,3109308,255494460,99301293,2.57,96518545,424586999,4.28,0.97
10003,Massachusetts Bay Transportation Authority,MB,PT,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,3244,3109308,2162081,951692,2.27,85258,5562842,5.85,0.09
10003,Massachusetts Bay Transportation Authority,RB,DO,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,3244,3109308,23235147,11490833,2.02,10627552,27230718,2.37,0.92
10003,Massachusetts Bay Transportation Authority,TB,DO,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,3244,3109308,7133649,3021243,2.36,1899150,23555601,7.80,0.63
10004,Brockton Area Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,86,254648,957154,173880,5.50,1254087,4311467,24.80,7.21
10004,Brockton Area Transit Authority,MB,PT,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,86,254648,17731983,2636726,6.73,2668996,11706738,4.44,1.01
10005,Lowell Regional Transit Authority,DR,DO,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,282,338186,340985,58488,5.83,69187,933493,15.96,1.18
10005,Lowell Regional Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,282,338186,263636,51291,5.14,74992,1531350,29.86,1.46
10005,Lowell Regional Transit Authority,MB,PT,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,282,338186,6620433,1370690,4.83,1324536,9830939,7.17,0.97
10006,Southeastern Regional Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,219,"New Bedford, MA",55,149443,289,308614,491151,82500,5.95,199320,4372356,53.00,2.42
10006,Southeastern Regional Transit Authority,MB,PT,Independent Public Agency or Authority of Transit Service,219,"New Bedford, MA",55,149443,289,308614,8586355,2666570,3.22,2267445,14368729,5.39,0.85
10007,Berkshire Regional Transit Authority,DR,PT,"Subsidiary Unit of a Transit Agency, Reporting Separately",448,"Pittsfield, MA",34,59124,384,127500,252759,27298,9.26,110108,1075080,39.38,4.03
10007,Berkshire Regional Transit Authority,MB,PT,"Subsidiary Unit of a Transit Agency, Reporting Separately",448,"Pittsfield, MA",34,59124,384,127500,4477482,497498,9.00,667672,5297468,10.65,1.34
10008,Pioneer Valley Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,65,"Springfield, MA-CT",349,621300,302,551543,2698242,260582,10.35,794068,9973167,38.27,3.05
10008,Pioneer Valley Transit Authority,MB,PT,Independent Public Agency or Authority of Transit Service,65,"Springfield, MA-CT",349,621300,302,551543,39422834,10120344,3.90,6732600,39216072,3.88,0.67
10013,Merrimack Valley Regional Transit Authority,CB,PT,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,225,306339,1650309,60822,27.13,339811,518655,8.53,5.59
10013,Merrimack Valley Regional Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,225,306339,661420,91944,7.19,188821,2659536,28.93,2.05
10013,Merrimack Valley Regional Transit Authority,MB,PT,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,225,306339,8095787,1952888,4.15,1141975,14782667,7.57,0.58
10014,Worcester Regional Transit Authority,DR,DO,Independent Public Agency or Authority of Transit Service,81,"Worcester, MA-CT",304,486514,866,479329,190791,37913,5.03,70725,2170724,57.26,1.87
10014,Worcester Regional Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,81,"Worcester, MA-CT",304,486514,866,479329,619242,94483,6.55,166702,2339928,24.77,1.76
10014,Worcester Regional Transit Authority,DR,TX,Independent Public Agency or Authority of Transit Service,81,"Worcester, MA-CT",304,486514,866,479329,222829,48200,4.62,116278,881656,18.29,2.41
10014,Worcester Regional Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,81,"Worcester, MA-CT",304,486514,866,479329,13078228,3013268,4.34,2847838,20250045,6.72,0.95
10016,Greater Portland Transit District,MB,DO,Independent Public Agency or Authority of Transit Service,177,"Portland, ME",136,203914,71,109535,7307108,2111881,3.46,2418291,10638584,5.04,1.15
10017,Greater Hartford Transit District,DR,PT,Independent Public Agency or Authority of Transit Service,47,"Hartford, CT",516,924859,620,1248881,4760716,513438,9.27,1357670,18099901,35.25,2.64
10040,Southeast Area Transit District,DR,PT,Independent Public Agency or Authority of Transit Service,174,"Norwich-New London, CT-RI",152,209190,305,201309,28712,6214,4.62,23579,288173,46.37,3.79
10040,Southeast Area Transit District,MB,DO,Independent Public Agency or Authority of Transit Service,174,"Norwich-New London, CT-RI",152,209190,305,201309,5670314,959444,5.91,1086206,6201494,6.46,1.13
10042,Valley Transit District,DR,DO,Independent Public Agency or Authority of Transit Service,48,"Bridgeport-Stamford, CT-NY",466,923311,58,88364,358781,48529,7.39,299366,1548038,31.90,6.17
10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,CB,PT,Private Provider Reporting on Behalf of a Public Entity,47,"Hartford, CT",516,924859,13,73941,5455885,216706,25.18,218150,4779705,22.06,1.01
10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,MB,PT,Private Provider Reporting on Behalf of a Public Entity,47,"Hartford, CT",516,924859,13,73941,857523,167144,5.13,104168,1127924,6.75,0.62
10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,MB,DO,State Government Unit or Department of Transportation,47,"Hartford, CT",516,924859,664,851535,97149174,14217815,6.83,14215583,91142950,6.41,1.00
10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,RB,DO,State Government Unit or Department of Transportation,47,"Hartford, CT",516,924859,664,851535,8021426,1579767,5.08,1069990,9034293,5.72,0.68
10049,Greater New Haven Transit District,DR,DO,Independent Public Agency or Authority of Transit Service,72,"New Haven, CT",306,562839,197,451486,1770804,232347,7.62,219160,10907372,46.94,0.94
10050,Greater Bridgeport Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,48,"Bridgeport-Stamford, CT-NY",466,923311,100,353954,613321,97894,6.27,294042,3115867,31.83,3.00
10050,Greater Bridgeport Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,48,"Bridgeport-Stamford, CT-NY",466,923311,100,353954,16290411,5204604,3.13,5048827,17079153,3.28,0.97
10051,Housatonic Area Regional Transit,DR,DO,Independent Public Agency or Authority of Transit Service,201,"Danbury, CT-NY",132,168136,124,154855,405651,60545,6.70,72261,1895261,31.30,1.19
10051,Housatonic Area Regional Transit,MB,DO,Independent Public Agency or Authority of Transit Service,201,"Danbury, CT-NY",132,168136,124,154855,4227417,621679,6.80,783788,5876576,9.45,1.26
10053,Cape Ann Transportation Authority,DR,PT,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,80,54099,135940,29371,4.63,30531,887199,30.21,1.04
10053,Cape Ann Transportation Authority,MB,PT,Independent Public Agency or Authority of Transit Service,10,"Boston, MA-NH-RI",1873,4181019,80,54099,790537,206000,3.84,158172,1854698,9.00,0.77
10055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,MB,DO,State Government Unit or Department of Transportation,72,"New Haven, CT",306,562839,456,531314,25128823,7567553,3.32,7223078,44844399,5.93,0.95
